,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
61a34bcc5d4d30b05ebd51ad0b396226,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae, g__Staphylococcus,,0.888090295
3a8e105c577f4bfdaafe295887a4f464,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__, s__,0.887113657
553cb86ffddf7897b4cb50d0b5f61913,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__, s__,0.998939083
2716c87d10851b14e9b216da919d1941,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae,,,0.998420918
a1afb2ea02cb752f23126d6f19196e64,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Stigonematales, f__Rivulariaceae, g__Calothrix, s__,0.831987798
0e56794867a85893468501e725b7b0c4,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Xenorhabdus,,0.865802566
26374fbc6b1c508828552f482b044a42,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Microbacterium, s__chocolatum,0.988244853
57a0c8e0bd4b466f139779bcf1fe8a0d,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Aeromonadaceae, g__Aeromonas,,0.840716918
6592bd7942ea46e60abdcbaba9f5a974,k__Bacteria, p__Acidobacteria, c__DA052, o__Ellin6513, f__, g__, s__,0.999898502
834e35134c65041209fd40d2b788c7bf,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rubellimicrobium, s__,0.99993342
9b1fa459820fa63cd1e696f036ec3e93,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,0.982559115
